Time,ED_AI_0364,ED_AI_0395,ED_AI_0339,ED_AI_0338,ED_AI_0337,ED_AI_0336,ED_AI_0436,ED_AI_0437,ED_AI_0438,ED_AI_0439,ED_AI_0316,ED_AI_0317,ED_AI_0318,ED_AI_0319,ED_AI_0419,ED_AI_0418,ED_AI_0417,ED_AI_0416,ED_AI_0387,ED_AI_0397,ED_AI_0487,ED_AI_0410,ED_AI_0310,ED_AI_0343,ED_AI_0443,ED_AI_0366,ED_AI_0367,ED_AI_0368,ED_AI_0369,ED_AI_0469,ED_AI_0468,ED_AI_0467,ED_AI_0466,EI_AI_0110,EH_AC_3034,EH_AC_3035,EH_AC_3037,EH_AC_3040,EH_AC_3053,EH_AC_3054,EH_AC_3056,EH_AC_3059
2015/09/11,23844.81835937,15476.15722656,352.25177002,369.91122437,374.02542114,358.27355957,365.35980225,368.10702515,376.86837769,349.66531372,645.18145752,638.71356201,649.77923584,627.1171875,618.57769775,647.25006104,638.42028809,630.48596191,1211.85229492,1186.88391113,1212.32678223,832.92321777,837.61627197,0.97870857,0.84147555,3.07408309,2.96229577,2.97652221,2.79623699,2.69322181,2.87335849,2.80366778,2.62322211,708.54058838,13.48307705,30.01190186,29.3008213,10.90731525,14.38321114,30.34627342,30.81642151,10.04984283
2015/09/12,24442.97070312,15739.51367188,346.80773926,365.5461731,367.70941162,352.16607666,357.65509033,360.10467529,369.93170166,342.57000732,640.53649902,633.64929199,645.41485596,620.83575439,609.64477539,642.46051025,630.72900391,623.14996338,1213.86083984,1185.39697266,1211.60925293,830.96081543,834.50286865,1.12857223,1.02321231,3.05710149,2.97520828,2.96900201,2.84318733,2.76215959,2.8602519,2.78863335,2.62966967,708.50268555,13.48307705,30.01190186,29.3008213,10.90731525,13.99489975,31.32772446,30.10864067,10.08500481
2015/09/23,24252.29101562,16531.6953125,341.75149536,361.81011963,363.28637695,351.55175781,350.39474487,357.04476929,364.78317261,332.3140564,628.93591309,618.20507812,631.69458008,604.93664551,583.52288818,624.05322266,611.61834717,598.15252686,1200.7010498,1170.1628418,1179.3182373,820.68884277,824.15234375,0.90365797,0.82364857,2.98671865,2.92805696,2.93027139,2.56705952,2.86405158,3.00368619,2.78993726,2.20594764,699.67919922,13.48307705,30.01190186,29.3008213,10.90731525,13.4647665,29.16632843,29.78710365,11.46963596
2015/09/24,24390.40429687,16625.36132812,339.95544434,360.93484497,361.44033813,350.65188599,348.88021851,355.01559448,363.46987915,331.5954895,626.61395264,615.70446777,630.04327393,601.47088623,581.13952637,621.53814697,608.68737793,595.49591064,1209.07666016,1176.09375,1181.93444824,821.3324585,824.25708008,0.88342899,0.81845522,2.99170685,2.96046662,2.936342,2.47814465,2.91045022,3.04265785,2.91273332,2.54730773,699.65234375,13.48307705,30.01190186,29.3008213,10.90731525,13.50433636,29.20618629,29.82475662,11.46272564
2015/09/25,24281.76953125,16687.61523437,339.02774048,359.77908325,359.92666626,349.40338135,347.42443848,353.84912109,363.2527771,331.4107666,623.14996338,613.22650146,628,598.73657227,579.24462891,618.29650879,605.11932373,591.85473633,1211.64172363,1177.03625488,1185.15307617,816.29840088,818.99133301,1.09903276,1.03162003,2.95242119,2.95203495,2.89574432,2.76382446,2.88344097,2.98254681,2.54556108,2.34456325,700.53173828,13.48307705,30.01190186,29.3008213,10.90731525,13.18704796,29.06810379,29.50532532,11.45969963
2015/09/26,24515.93164062,16281.40820313,348.50009155,367.72732544,369.25610352,357.33770752,355.85308838,362.9130249,370.88989258,339.19387817,634.37646484,624.7098999,638.09973145,611.55358887,591.75390625,629.02825928,617.65576172,604.00793457,1206.46789551,1176.41601562,1182.54846191,827.08062744,830.40509033,1.08613276,1.0282563,2.98064089,2.96029162,2.91247535,2.69372153,2.90701461,2.99485207,2.60599232,2.57249832,700.68481445,13.48307705,30.01190186,29.3008213,10.90731525,13.62346268,30.78401947,30.1248188,10.84322643
2015/09/27,24545.23046875,16570.30273437,351.55175781,369.36471558,371.73098755,358.98757935,360.09643555,365.72702026,374.42703247,343.7517395,637.46203613,628.31640625,641.1673584,616.11889648,598.9362793,635.86901855,624.01025391,611.50311279,1206.62036133,1178.86987305,1186.81347656,833.7041626,837.36584473,1.12409282,1.06080425,3.12972569,3.03337908,3.0351162,2.98637581,2.89447665,3.07294178,2.92258024,2.80219126,700.34466553,13.48307705,30.01190186,29.3008213,10.90731525,13.62346268,30.78401947,30.1248188,10.84322643
2015/09/28,24480.39453125,16699,350.54507446,368.32369995,371.07846069,357.44134521,360.01885986,365.27206421,374.29196167,343.67614746,637.0489502,628.54052734,641.15771484,615.74041748,599.95471191,636.00244141,625.21911621,612.4206543,1210.61743164,1181.98925781,1192.76281738,833.64361572,837.52362061,1.1154927,1.03972936,3.084198,3.06292725,3.04470921,3.88906717,2.90547919,3.08846736,2.92899609,2.52409816,700.89031982,13.48307705,30.01190186,29.3008213,10.90731525,13.62346268,30.78401947,30.1248188,10.84322643
2015/09/29,25041.18945312,14963.30273438,349.4576416,365.65008545,369.00549316,355.5562439,362.54156494,367.08712769,373.73236084,346.67556763,633.43359375,625.52886963,638.4276123,613.77227783,604.84570312,636.51593018,627.20831299,616.4362793,1205.97192383,1179.86791992,1200.64428711,823.96954346,830.83178711,1.07260859,0.99352837,2.93215132,2.89983749,2.89503026,2.63541722,2.67464733,2.8993423,2.82385874,2.99993873,701.16503906,13.48307705,30.01190186,29.3008213,10.90731525,13.56041336,30.521595,29.71274757,10.62245369
2015/09/30,25682.30664062,14608.1328125,349.33297729,367.21905518,369.18533325,354.65588379,356.67269897,360.70251465,370.28948975,340.1701355,635.45654297,628.33007812,641.98840332,615.82592773,596.66900635,633.79431152,621.80645752,610.62591553,1211.63562012,1182.73510742,1195.98205566,818.65301514,826.62341309,0.91574103,0.82951337,2.91727471,2.86194181,2.86164999,2.77640462,2.78663564,2.93346167,2.85935235,2.99993873,701.82403564,13.48307705,30.01190186,29.3008213,10.90731525,13.54917908,29.2667942,29.29864693,11.20337772
